n_features= 27
episode: 0  running reward: -20
episode: 100  running reward: -14
episode: 200  running reward: -17
episode: 300  running reward: -17
episode: 400  running reward: -17
episode: 500  running reward: -15
episode: 600  running reward: -14
episode: 700  running reward: -18
episode: 800  running reward: -10
episode: 900  running reward: -16
episode: 1000  running reward: -16
episode: 1100  running reward: -14
episode: 1200  running reward: -11
episode: 1300  running reward: -10
episode: 1400  running reward: -11
episode: 1500  running reward: -11
episode: 1600  running reward: -14
episode: 1700  running reward: -15
episode: 1800  running reward: -15
episode: 1900  running reward: -15
episode: 2000  running reward: -12
episode: 2100  running reward: -11
episode: 2200  running reward: -12
episode: 2300  running reward: -16
episode: 2400  running reward: -15
episode: 2500  running reward: -11
episode: 2600  running reward: -12
episode: 2700  running reward: -11
episode: 2800  running reward: -13
episode: 2900  running reward: -16
episode: 3000  running reward: -16
episode: 3100  running reward: -13
episode: 3200  running reward: -16
episode: 3300  running reward: -15
episode: 3400  running reward: -13
episode: 3500  running reward: -13
episode: 3600  running reward: -8
episode: 3700  running reward: -13
episode: 3800  running reward: -11
episode: 3900  running reward: -6
episode: 4000  running reward: -11
episode: 4100  running reward: -12
episode: 4200  running reward: -15
episode: 4300  running reward: -15
episode: 4400  running reward: -15
episode: 4500  running reward: -12
episode: 4600  running reward: -13
episode: 4700  running reward: -10
episode: 4800  running reward: -13
episode: 4900  running reward: -12
episode: 5000  running reward: -11
episode: 5100  running reward: -8
episode: 5200  running reward: -13
episode: 5300  running reward: -10
episode: 5400  running reward: -9
episode: 5500  running reward: -6
episode: 5600  running reward: -12
episode: 5700  running reward: -10
episode: 5800  running reward: -6
episode: 5900  running reward: -13
episode: 6000  running reward: -8
episode: 6100  running reward: -9
episode: 6200  running reward: -12
episode: 6300  running reward: -14
episode: 6400  running reward: -11
episode: 6500  running reward: -11
episode: 6600  running reward: -13
episode: 6700  running reward: -11
episode: 6800  running reward: -11
episode: 6900  running reward: -11
episode: 7000  running reward: -16
episode: 7100  running reward: -14
episode: 7200  running reward: -11
episode: 7300  running reward: -13
episode: 7400  running reward: -8
episode: 7500  running reward: -14
episode: 7600  running reward: -13
episode: 7700  running reward: -11
episode: 7800  running reward: -11
episode: 7900  running reward: -13
episode: 8000  running reward: -9
episode: 8100  running reward: -13
episode: 8200  running reward: -10
episode: 8300  running reward: -14
episode: 8400  running reward: -12
episode: 8500  running reward: -16
episode: 8600  running reward: -12
episode: 8700  running reward: -13
episode: 8800  running reward: -11
episode: 8900  running reward: -12
episode: 9000  running reward: -10
episode: 9100  running reward: -8
episode: 9200  running reward: -10
episode: 9300  running reward: -12
episode: 9400  running reward: -14
episode: 9500  running reward: -8
episode: 9600  running reward: -10
episode: 9700  running reward: -13
episode: 9800  running reward: -13
episode: 9900  running reward: -11
episode: 10000  running reward: -14
episode: 10100  running reward: -9
episode: 10200  running reward: -7
episode: 10300  running reward: -14
