nohup: ignoring input
Using device: cpu (CUDA not available)
======================================================================
FAST TRAINING MODE - Optimizations:
- M=8 rules (doubled capacity for learning strategies)
- Learning rate: 0.003 (3x normal)
- Batch size: 128 (smaller for faster updates)
- Update every game
- Target network sync every 50 episodes
- No rendering/visualization
======================================================================
Episode    50 | Reward:  -9.794 | Epsilon: 0.7783
Episode   100 | Reward: -14.036 | Epsilon: 0.6058 | Loss: 168.9323
Episode   150 | Reward: -14.595 | Epsilon: 0.4715 | Loss: 134.7429
Episode   200 | Reward: -14.927 | Epsilon: 0.3670 | Loss: 125.5004
Episode   250 | Reward: -15.093 | Epsilon: 0.2856 | Loss: 125.3129
Episode   300 | Reward: -17.371 | Epsilon: 0.2223 | Loss: 145.0423
Episode   350 | Reward: -14.393 | Epsilon: 0.1730 | Loss: 157.5722
Episode   400 | Reward: -12.974 | Epsilon: 0.1347 | Loss: 137.3930
Episode   450 | Reward: -13.254 | Epsilon: 0.1048 | Loss: 165.6779
Episode   500 | Reward: -15.547 | Epsilon: 0.0816 | Loss: 196.5649
Episode   550 | Reward: -11.592 | Epsilon: 0.0635 | Loss: 157.9968
Episode   600 | Reward: -11.740 | Epsilon: 0.0494 | Loss: 149.4623
Episode   650 | Reward:  -8.868 | Epsilon: 0.0385 | Loss: 197.6252
Episode   700 | Reward: -10.471 | Epsilon: 0.0299 | Loss: 217.7977
Episode   750 | Reward:  -8.613 | Epsilon: 0.0233 | Loss: 235.1001
Episode   800 | Reward:  -3.680 | Epsilon: 0.0181 | Loss: 184.4224
Episode   850 | Reward: -12.640 | Epsilon: 0.0141 | Loss: 210.4557
Episode   900 | Reward: -12.704 | Epsilon: 0.0110 | Loss: 188.6836
Episode   950 | Reward:  -7.951 | Epsilon: 0.0100 | Loss: 219.6819
Episode  1000 | Reward:  -7.014 | Epsilon: 0.0100 | Loss: 259.8365
Model saved to PyTorch_models/model.DQN.logic_with_vars.AlgebraicLogic.AlgebraicLogic.M=8x(J=2,I=3,L=2).30-11-2025(01:07).dict.dict
✓ Model saved: model.DQN.logic_with_vars.AlgebraicLogic.AlgebraicLogic.M=8x(J=2,I=3,L=2).30-11-2025(01:07).dict
Episode  1050 | Reward:  -8.935 | Epsilon: 0.0100 | Loss: 220.1659
Episode  1100 | Reward:  -6.520 | Epsilon: 0.0100 | Loss: 221.7290
Episode  1150 | Reward: -12.185 | Epsilon: 0.0100 | Loss: 224.2964
Episode  1200 | Reward:  -7.243 | Epsilon: 0.0100 | Loss: 246.4423
Episode  1250 | Reward:  -9.248 | Epsilon: 0.0100 | Loss: 254.4575
Episode  1300 | Reward: -11.539 | Epsilon: 0.0100 | Loss: 213.9631
Episode  1350 | Reward:  -7.199 | Epsilon: 0.0100 | Loss: 290.3609
Episode  1400 | Reward:  -4.891 | Epsilon: 0.0100 | Loss: 210.5294
Episode  1450 | Reward:  -6.158 | Epsilon: 0.0100 | Loss: 233.0381
Episode  1500 | Reward:  -9.840 | Epsilon: 0.0100 | Loss: 271.1498
Episode  1550 | Reward: -10.590 | Epsilon: 0.0100 | Loss: 306.5050
Episode  1600 | Reward:  -4.715 | Epsilon: 0.0100 | Loss: 235.8869
Episode  1650 | Reward:  -6.252 | Epsilon: 0.0100 | Loss: 237.3643
Episode  1700 | Reward:  -6.501 | Epsilon: 0.0100 | Loss: 221.7454
Episode  1750 | Reward:  -6.245 | Epsilon: 0.0100 | Loss: 244.9742
Episode  1800 | Reward:  -9.068 | Epsilon: 0.0100 | Loss: 299.0086
Episode  1850 | Reward:  -8.526 | Epsilon: 0.0100 | Loss: 308.6432
Episode  1900 | Reward:  -9.752 | Epsilon: 0.0100 | Loss: 250.3983
Episode  1950 | Reward:  -7.074 | Epsilon: 0.0100 | Loss: 292.7786
Episode  2000 | Reward:  -8.955 | Epsilon: 0.0100 | Loss: 277.6908
Model saved to PyTorch_models/model.DQN.logic_with_vars.AlgebraicLogic.AlgebraicLogic.M=8x(J=2,I=3,L=2).30-11-2025(01:11).dict.dict
✓ Model saved: model.DQN.logic_with_vars.AlgebraicLogic.AlgebraicLogic.M=8x(J=2,I=3,L=2).30-11-2025(01:11).dict
Episode  2050 | Reward: -10.308 | Epsilon: 0.0100 | Loss: 242.1243
Episode  2100 | Reward:  -9.805 | Epsilon: 0.0100 | Loss: 311.2138
Episode  2150 | Reward:  -8.890 | Epsilon: 0.0100 | Loss: 245.0133
Episode  2200 | Reward:  -4.048 | Epsilon: 0.0100 | Loss: 293.2262
Episode  2250 | Reward:  -3.521 | Epsilon: 0.0100 | Loss: 254.2869
Episode  2300 | Reward:  -3.559 | Epsilon: 0.0100 | Loss: 333.6530
Episode  2350 | Reward:  -3.331 | Epsilon: 0.0100 | Loss: 266.1555
Episode  2400 | Reward: -10.858 | Epsilon: 0.0100 | Loss: 356.9975
Episode  2450 | Reward:  -7.944 | Epsilon: 0.0100 | Loss: 254.3834
Episode  2500 | Reward:  -3.349 | Epsilon: 0.0100 | Loss: 265.8495
Episode  2550 | Reward:  -6.167 | Epsilon: 0.0100 | Loss: 310.0538
Episode  2600 | Reward:  -5.881 | Epsilon: 0.0100 | Loss: 287.0134
Episode  2650 | Reward:  -7.121 | Epsilon: 0.0100 | Loss: 298.6323
Episode  2700 | Reward:  -7.449 | Epsilon: 0.0100 | Loss: 298.4295
Episode  2750 | Reward:  -9.094 | Epsilon: 0.0100 | Loss: 334.6619
Episode  2800 | Reward:  -0.928 | Epsilon: 0.0100 | Loss: 293.2818
Episode  2850 | Reward:  -3.793 | Epsilon: 0.0100 | Loss: 328.6668
Episode  2900 | Reward:  -4.401 | Epsilon: 0.0100 | Loss: 314.2172
Episode  2950 | Reward:  -7.343 | Epsilon: 0.0100 | Loss: 296.3185
Episode  3000 | Reward:  -4.989 | Epsilon: 0.0100 | Loss: 343.6557
Model saved to PyTorch_models/model.DQN.logic_with_vars.AlgebraicLogic.AlgebraicLogic.M=8x(J=2,I=3,L=2).30-11-2025(01:15).dict.dict
✓ Model saved: model.DQN.logic_with_vars.AlgebraicLogic.AlgebraicLogic.M=8x(J=2,I=3,L=2).30-11-2025(01:15).dict
Episode  3050 | Reward:  -3.420 | Epsilon: 0.0100 | Loss: 351.4048
Episode  3100 | Reward:  -6.190 | Epsilon: 0.0100 | Loss: 258.6961
Episode  3150 | Reward:  -5.546 | Epsilon: 0.0100 | Loss: 364.4614
Episode  3200 | Reward:  -6.978 | Epsilon: 0.0100 | Loss: 227.0124
